eventID,basisOfRecord,occurrenceID,occurrenceRemarks,individualCount,occurrenceStatus,scientificName,kingdom
MARK003:2022-07-12,HumanObservation,MARK003:2022-07-12:bac4e1a538c1fac69b816b52f833928c,geelgerande watertor,,absent,Procambarus clarkii,Animalia
MARK003:2022-07-12,HumanObservation,MARK003:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,geelgerande watertor,,absent,Procambarus acutus,Animalia
MARK003:2022-07-12,HumanObservation,MARK003:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,geelgerande watertor,,absent,Procambarus fallax,Animalia
MARK005:2022-07-12,HumanObservation,MARK005:2022-07-12:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
MARK005:2022-07-12,HumanObservation,MARK005:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
MARK005:2022-07-12,HumanObservation,MARK005:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
MARK005:2022-07-12,HumanObservation,MARK005:2022-07-12:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
MARK005:2022-07-12,HumanObservation,MARK005:2022-07-12:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
MARK005:2022-07-12,HumanObservation,MARK005:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
MARK005:2022-07-12,HumanObservation,MARK005:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
MARK006:2022-07-12,HumanObservation,MARK006:2022-07-12:edab00e9911d737385856d4e84258154,blankvoorn,,absent,Pontastacus leptodactylus,Animalia
MARK006:2022-07-12,HumanObservation,MARK006:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,blankvoorn,,absent,Pacifastacus leniusculus,Animalia
MARK006:2022-07-12,HumanObservation,MARK006:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,blankvoorn,,absent,Faxonius limosus,Animalia
MARK006:2022-07-12,HumanObservation,MARK006:2022-07-12:b18982f5cf830701713b2561ebf4925a,blankvoorn,,absent,Faxonius rusticus,Animalia
MARK006:2022-07-12,HumanObservation,MARK006:2022-07-12:bac4e1a538c1fac69b816b52f833928c,blankvoorn,,absent,Procambarus clarkii,Animalia
MARK006:2022-07-12,HumanObservation,MARK006:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,blankvoorn,,absent,Procambarus acutus,Animalia
MARK006:2022-07-12,HumanObservation,MARK006:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,blankvoorn,,absent,Procambarus fallax,Animalia
MARK007:2022-07-12,HumanObservation,MARK007:2022-07-12:edab00e9911d737385856d4e84258154,blankvoorn,,absent,Pontastacus leptodactylus,Animalia
MARK007:2022-07-12,HumanObservation,MARK007:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,blankvoorn,,absent,Pacifastacus leniusculus,Animalia
MARK007:2022-07-12,HumanObservation,MARK007:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,blankvoorn,,absent,Faxonius limosus,Animalia
MARK007:2022-07-12,HumanObservation,MARK007:2022-07-12:b18982f5cf830701713b2561ebf4925a,blankvoorn,,absent,Faxonius rusticus,Animalia
MARK007:2022-07-12,HumanObservation,MARK007:2022-07-12:bac4e1a538c1fac69b816b52f833928c,blankvoorn,,absent,Procambarus clarkii,Animalia
MARK007:2022-07-12,HumanObservation,MARK007:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,blankvoorn,,absent,Procambarus acutus,Animalia
MARK007:2022-07-12,HumanObservation,MARK007:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,blankvoorn,,absent,Procambarus fallax,Animalia
MARK008:2022-07-12,HumanObservation,MARK008:2022-07-12:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
MARK008:2022-07-12,HumanObservation,MARK008:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
MARK008:2022-07-12,HumanObservation,MARK008:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
MARK008:2022-07-12,HumanObservation,MARK008:2022-07-12:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
MARK008:2022-07-12,HumanObservation,MARK008:2022-07-12:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
MARK008:2022-07-12,HumanObservation,MARK008:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
MARK008:2022-07-12,HumanObservation,MARK008:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE001:2022-07-12,HumanObservation,ZENNE001:2022-07-12:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE001:2022-07-12,HumanObservation,ZENNE001:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE001:2022-07-12,HumanObservation,ZENNE001:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE001:2022-07-12,HumanObservation,ZENNE001:2022-07-12:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE001:2022-07-12,HumanObservation,ZENNE001:2022-07-12:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE001:2022-07-12,HumanObservation,ZENNE001:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE001:2022-07-12,HumanObservation,ZENNE001:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE002:2022-07-12,HumanObservation,ZENNE002:2022-07-12:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE002:2022-07-12,HumanObservation,ZENNE002:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE002:2022-07-12,HumanObservation,ZENNE002:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE002:2022-07-12,HumanObservation,ZENNE002:2022-07-12:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE002:2022-07-12,HumanObservation,ZENNE002:2022-07-12:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE002:2022-07-12,HumanObservation,ZENNE002:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE002:2022-07-12,HumanObservation,ZENNE002:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE003:2022-07-12,HumanObservation,ZENNE003:2022-07-12:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE003:2022-07-12,HumanObservation,ZENNE003:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE003:2022-07-12,HumanObservation,ZENNE003:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE003:2022-07-12,HumanObservation,ZENNE003:2022-07-12:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE003:2022-07-12,HumanObservation,ZENNE003:2022-07-12:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE003:2022-07-12,HumanObservation,ZENNE003:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE003:2022-07-12,HumanObservation,ZENNE003:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE004:2022-07-12,HumanObservation,ZENNE004:2022-07-12:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE004:2022-07-12,HumanObservation,ZENNE004:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE004:2022-07-12,HumanObservation,ZENNE004:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE004:2022-07-12,HumanObservation,ZENNE004:2022-07-12:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE004:2022-07-12,HumanObservation,ZENNE004:2022-07-12:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE004:2022-07-12,HumanObservation,ZENNE004:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE004:2022-07-12,HumanObservation,ZENNE004:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE005:2022-07-12,HumanObservation,ZENNE005:2022-07-12:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE005:2022-07-12,HumanObservation,ZENNE005:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE005:2022-07-12,HumanObservation,ZENNE005:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE005:2022-07-12,HumanObservation,ZENNE005:2022-07-12:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE005:2022-07-12,HumanObservation,ZENNE005:2022-07-12:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE005:2022-07-12,HumanObservation,ZENNE005:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE005:2022-07-12,HumanObservation,ZENNE005:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE006:2022-07-12,HumanObservation,ZENNE006:2022-07-12:edab00e9911d737385856d4e84258154,zonnebaars,,absent,Pontastacus leptodactylus,Animalia
ZENNE006:2022-07-12,HumanObservation,ZENNE006:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,zonnebaars,,absent,Pacifastacus leniusculus,Animalia
ZENNE006:2022-07-12,HumanObservation,ZENNE006:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,zonnebaars,,absent,Faxonius limosus,Animalia
ZENNE006:2022-07-12,HumanObservation,ZENNE006:2022-07-12:b18982f5cf830701713b2561ebf4925a,zonnebaars,,absent,Faxonius rusticus,Animalia
ZENNE006:2022-07-12,HumanObservation,ZENNE006:2022-07-12:bac4e1a538c1fac69b816b52f833928c,zonnebaars,,absent,Procambarus clarkii,Animalia
ZENNE006:2022-07-12,HumanObservation,ZENNE006:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,zonnebaars,,absent,Procambarus acutus,Animalia
ZENNE006:2022-07-12,HumanObservation,ZENNE006:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,zonnebaars,,absent,Procambarus fallax,Animalia
ZENNE007:2022-07-13,HumanObservation,ZENNE007:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE007:2022-07-13,HumanObservation,ZENNE007:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE007:2022-07-13,HumanObservation,ZENNE007:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE007:2022-07-13,HumanObservation,ZENNE007:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE007:2022-07-13,HumanObservation,ZENNE007:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE007:2022-07-13,HumanObservation,ZENNE007:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE007:2022-07-13,HumanObservation,ZENNE007:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE008:2022-07-13,HumanObservation,ZENNE008:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE008:2022-07-13,HumanObservation,ZENNE008:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE008:2022-07-13,HumanObservation,ZENNE008:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE008:2022-07-13,HumanObservation,ZENNE008:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE008:2022-07-13,HumanObservation,ZENNE008:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE008:2022-07-13,HumanObservation,ZENNE008:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE008:2022-07-13,HumanObservation,ZENNE008:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE009:2022-07-13,HumanObservation,ZENNE009:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE009:2022-07-13,HumanObservation,ZENNE009:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE009:2022-07-13,HumanObservation,ZENNE009:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE009:2022-07-13,HumanObservation,ZENNE009:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE009:2022-07-13,HumanObservation,ZENNE009:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE009:2022-07-13,HumanObservation,ZENNE009:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE009:2022-07-13,HumanObservation,ZENNE009:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE010:2022-07-13,HumanObservation,ZENNE010:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE010:2022-07-13,HumanObservation,ZENNE010:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE010:2022-07-13,HumanObservation,ZENNE010:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE010:2022-07-13,HumanObservation,ZENNE010:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE010:2022-07-13,HumanObservation,ZENNE010:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE010:2022-07-13,HumanObservation,ZENNE010:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE010:2022-07-13,HumanObservation,ZENNE010:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE011:2022-07-13,HumanObservation,ZENNE011:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE011:2022-07-13,HumanObservation,ZENNE011:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE011:2022-07-13,HumanObservation,ZENNE011:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE011:2022-07-13,HumanObservation,ZENNE011:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE011:2022-07-13,HumanObservation,ZENNE011:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE011:2022-07-13,HumanObservation,ZENNE011:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE011:2022-07-13,HumanObservation,ZENNE011:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE012:2022-07-13,HumanObservation,ZENNE012:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE012:2022-07-13,HumanObservation,ZENNE012:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE012:2022-07-13,HumanObservation,ZENNE012:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE012:2022-07-13,HumanObservation,ZENNE012:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE012:2022-07-13,HumanObservation,ZENNE012:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE012:2022-07-13,HumanObservation,ZENNE012:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE012:2022-07-13,HumanObservation,ZENNE012:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE013:2022-07-13,HumanObservation,ZENNE013:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE013:2022-07-13,HumanObservation,ZENNE013:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE013:2022-07-13,HumanObservation,ZENNE013:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE013:2022-07-13,HumanObservation,ZENNE013:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE013:2022-07-13,HumanObservation,ZENNE013:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE013:2022-07-13,HumanObservation,ZENNE013:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE013:2022-07-13,HumanObservation,ZENNE013:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE015:2022-07-13,HumanObservation,ZENNE015:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE015:2022-07-13,HumanObservation,ZENNE015:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE015:2022-07-13,HumanObservation,ZENNE015:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE015:2022-07-13,HumanObservation,ZENNE015:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE015:2022-07-13,HumanObservation,ZENNE015:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE015:2022-07-13,HumanObservation,ZENNE015:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE015:2022-07-13,HumanObservation,ZENNE015:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE016:2022-07-13,HumanObservation,ZENNE016:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE016:2022-07-13,HumanObservation,ZENNE016:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE016:2022-07-13,HumanObservation,ZENNE016:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE016:2022-07-13,HumanObservation,ZENNE016:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE016:2022-07-13,HumanObservation,ZENNE016:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE016:2022-07-13,HumanObservation,ZENNE016:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE016:2022-07-13,HumanObservation,ZENNE016:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE017:2022-07-13,HumanObservation,ZENNE017:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE017:2022-07-13,HumanObservation,ZENNE017:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE017:2022-07-13,HumanObservation,ZENNE017:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE017:2022-07-13,HumanObservation,ZENNE017:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE017:2022-07-13,HumanObservation,ZENNE017:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE017:2022-07-13,HumanObservation,ZENNE017:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE017:2022-07-13,HumanObservation,ZENNE017:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE018:2022-07-13,HumanObservation,ZENNE018:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE018:2022-07-13,HumanObservation,ZENNE018:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE018:2022-07-13,HumanObservation,ZENNE018:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE018:2022-07-13,HumanObservation,ZENNE018:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE018:2022-07-13,HumanObservation,ZENNE018:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE018:2022-07-13,HumanObservation,ZENNE018:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE018:2022-07-13,HumanObservation,ZENNE018:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE019:2022-07-13,HumanObservation,ZENNE019:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE019:2022-07-13,HumanObservation,ZENNE019:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE019:2022-07-13,HumanObservation,ZENNE019:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE019:2022-07-13,HumanObservation,ZENNE019:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
ZENNE019:2022-07-13,HumanObservation,ZENNE019:2022-07-13:bac4e1a538c1fac69b816b52f833928c,,,absent,Procambarus clarkii,Animalia
ZENNE019:2022-07-13,HumanObservation,ZENNE019:2022-07-13:7b9ca039cc740fd5eebdf394d6723417,,,absent,Procambarus acutus,Animalia
ZENNE019:2022-07-13,HumanObservation,ZENNE019:2022-07-13:81520d7b08aa6d4d099d54b51e4bffd9,,,absent,Procambarus fallax,Animalia
ZENNE020:2022-07-13,HumanObservation,ZENNE020:2022-07-13:edab00e9911d737385856d4e84258154,,,absent,Pontastacus leptodactylus,Animalia
ZENNE020:2022-07-13,HumanObservation,ZENNE020:2022-07-13:05e1226fad2eec66ff6c70764ecf047a,,,absent,Pacifastacus leniusculus,Animalia
ZENNE020:2022-07-13,HumanObservation,ZENNE020:2022-07-13:422e6b4d2f9dcd8bd752e6c137b49357,,,absent,Faxonius limosus,Animalia
ZENNE020:2022-07-13,HumanObservation,ZENNE020:2022-07-13:b18982f5cf830701713b2561ebf4925a,,,absent,Faxonius rusticus,Animalia
